:PAPER_ID(ARTICLE_ID),:PLACE_ID(VENUE_ID),:TYPE
01f1d231-80ae-4cce-b56c-9d821e0924d0, international conference on software engineering,ARTICLE_VENUE
0e6ce7a9-6456-437b-9f3f-4bda192a6fae, international conference on software engineering,ARTICLE_VENUE
10c7185a-f2b7-4810-b1d6-1340c2949922, international conference on software engineering,ARTICLE_VENUE
11f0bd37-ae5a-43e6-b14a-a59bc00fdd90, Lecture Notes in Computer Science,ARTICLE_VENUE
155dec16-36d6-44f4-976b-1afb5d1924af, Lecture Notes in Computer Science,ARTICLE_VENUE
20f0a5af-395a-487f-854d-9888295f2508, Lecture Notes in Computer Science,ARTICLE_VENUE
25e09f2e-c606-469f-a763-5d20b4704a86, Lecture Notes in Computer Science,ARTICLE_VENUE
510afbc2-b494-44a3-a8b9-dbe6efe0bc34, Lecture Notes in Computer Science,ARTICLE_VENUE
5ff6268d-0798-416b-815f-5a350be66a88, Communications of The ACM,ARTICLE_VENUE
6302f292-621c-466a-9a92-01df3d6b2097, Lecture Notes in Computer Science,ARTICLE_VENUE
68a14c7a-0148-4351-8f94-9a433d6bf5c9, Lecture Notes in Computer Science,ARTICLE_VENUE
6f947cfa-0819-43fa-a37b-920d8dc8d7c2, international conference on software engineering,ARTICLE_VENUE
76c5e5c4-a527-411b-85a3-7e3499c4bdca, Lecture Notes in Computer Science,ARTICLE_VENUE
938fe7f3-1f54-40b6-a91b-f51e4cc1c464, Communications of The ACM,ARTICLE_VENUE
979363a0-12b9-4292-8611-5c0a9d8084d8, international conference on software engineering,ARTICLE_VENUE
9cbc46f4-1e00-4590-bff6-60905e1dfe10, international conference on software engineering,ARTICLE_VENUE
9f91d640-58c9-46fd-a9ae-8a5075f9e186, Lecture Notes in Computer Science,ARTICLE_VENUE
a868dd6f-bce8-45c4-9561-fc7bdc32439c, Lecture Notes in Computer Science,ARTICLE_VENUE
acf8116a-ca9a-44d1-a2a6-544aebc2a827, Lecture Notes in Computer Science,ARTICLE_VENUE
b709a3aa-b3e2-48aa-8aec-398ff787699c, Lecture Notes in Computer Science,ARTICLE_VENUE
b9e8edb6-2b9b-49ec-a7e0-640535d6404d, Lecture Notes in Computer Science,ARTICLE_VENUE
bed8e0ac-328a-4c87-9bc6-cb39f27c9520, Lecture Notes in Computer Science,ARTICLE_VENUE
c7163f06-ceb6-4cd8-a1bf-ffce0f7189e0, Lecture Notes in Computer Science,ARTICLE_VENUE
cac28ed2-dfee-441c-a5eb-74b293d2113e, Communications of The ACM,ARTICLE_VENUE
cd0c2372-c624-4e65-a58e-e3936d0cb435, international conference on software engineering,ARTICLE_VENUE
d9b7d425-41cb-4969-a961-e3004d0f122d, Lecture Notes in Computer Science,ARTICLE_VENUE
0611f38e-0dbc-4d03-97cc-9a301d9504b4, Lecture Notes in Computer Science,ARTICLE_VENUE
183a4da3-16a6-4ba2-a95c-29dd695e95c9, Lecture Notes in Computer Science,ARTICLE_VENUE
1ce5f407-bac5-44c4-835e-215fb3e54c73, Communications of The ACM,ARTICLE_VENUE
ea30117a-91c1-4b06-97e6-601a562a1ec0, international conference on software engineering,ARTICLE_VENUE
f74e0c75-010b-4391-b033-05296677fcfa, international conference on software engineering,ARTICLE_VENUE
fa1bdf91-eca8-419a-a99e-9bfce9bc0e97, Communications of The ACM,ARTICLE_VENUE
2a8570ae-7254-44e7-a3ce-aa1e88eac317, Lecture Notes in Computer Science,ARTICLE_VENUE
3084306d-9c8b-4afc-966b-51fdc42211ea, Communications of The ACM,ARTICLE_VENUE
3188481a-dfdb-46d0-982e-bc2b3b452f68, Lecture Notes in Computer Science,ARTICLE_VENUE
395066d5-ef21-451a-ba4a-387aa5acd884, international conference on software engineering,ARTICLE_VENUE
3fed4c7d-ca21-42a3-8ea9-fb0e19599848, international conference on software engineering,ARTICLE_VENUE
4e4f521f-5555-4b42-a020-8763778be2f7, Lecture Notes in Computer Science,ARTICLE_VENUE
6a63d9ee-dea5-4536-9beb-6a1580249326, Lecture Notes in Computer Science,ARTICLE_VENUE
76f3e430-24be-4f90-a0fb-456133cb0607, Lecture Notes in Computer Science,ARTICLE_VENUE
7d83ed4c-8df2-4893-bbe0-d6352dcb5559, Lecture Notes in Computer Science,ARTICLE_VENUE
946b9be8-1134-4bfc-a9da-b9af1e34b010, Communications of The ACM,ARTICLE_VENUE
98371e71-f6b4-4b55-93dd-f2891a4d7ec1, advances in computing and communications,ARTICLE_VENUE
a4fc010f-7c17-461a-bd02-c53f69e595f1, international conference on software engineering,ARTICLE_VENUE
bac941bc-fddc-4d00-82c2-649b87d2255d, international conference on software engineering,ARTICLE_VENUE
06fccfe2-9467-49a5-8356-d91e26210aeb, advances in computing and communications,ARTICLE_VENUE
d2968137-f5f2-408a-bf82-ffd6aa8ce656, international conference on software engineering,ARTICLE_VENUE
e33814e9-64c5-4fa0-a82e-8f662bedc432, Lecture Notes in Computer Science,ARTICLE_VENUE
e5777512-321d-4108-ac8c-d4e97d809ccf, advances in computing and communications,ARTICLE_VENUE
ebf64810-994e-4665-a4ee-56a21521f750, Lecture Notes in Computer Science,ARTICLE_VENUE
ed81a901-7423-497c-b127-8de923e4beaf, advances in computing and communications,ARTICLE_VENUE
f58cab6f-82df-457a-ae8f-0691ff27f4b2, Lecture Notes in Computer Science,ARTICLE_VENUE
0ab2e561-fe64-4a52-8abf-9d24b0b54e27, advances in computing and communications,ARTICLE_VENUE
0dceb0cc-002d-4b4d-a5c7-a3105db96e06, international conference on software engineering,ARTICLE_VENUE
14e318fe-a39c-4d3a-89d1-7b6163a4493d, Lecture Notes in Computer Science,ARTICLE_VENUE
16aafc22-0749-44bc-bcc9-62e0adb9f80e, Communications of The ACM,ARTICLE_VENUE
19944f04-f402-42d2-83b0-9664668f92c9, advances in computing and communications,ARTICLE_VENUE
26b6a45c-5d3b-49c0-9abc-f747fa2b77c5, international conference on software engineering,ARTICLE_VENUE
28cb5619-4f21-414f-aa99-aeee348388e2, international conference on software engineering,ARTICLE_VENUE
2a4f5868-0131-42ea-8c0e-c3ce29eeff46, international conference on software engineering,ARTICLE_VENUE
3ba444d8-c034-4ac7-8426-95f1ac660ea0, Lecture Notes in Computer Science,ARTICLE_VENUE
3bee310b-bbe2-4f24-b93d-76b855e0e0fa, Communications of The ACM,ARTICLE_VENUE
42202a89-2c38-46e4-8575-37cb51067b0a, international conference on software engineering,ARTICLE_VENUE
422f3078-3c24-4fe4-918d-4ea8d49b4ef0, international conference on software engineering,ARTICLE_VENUE
4afafe3d-1e36-42d2-9308-416d99b14b2d, Lecture Notes in Computer Science,ARTICLE_VENUE
4baa63eb-3fbb-40b4-b01c-367dc762cbd4, Lecture Notes in Computer Science,ARTICLE_VENUE
5118b543-8fa7-44d8-96e5-879534d923e2, Lecture Notes in Computer Science,ARTICLE_VENUE
547a72a2-260a-4169-bbc4-8be1c86439af, Lecture Notes in Computer Science,ARTICLE_VENUE
5f18244d-9640-48c3-9435-011dcea2f94b, Lecture Notes in Computer Science,ARTICLE_VENUE
77eb6051-7b5e-4c8b-96bc-4444a4d0946a, Lecture Notes in Computer Science,ARTICLE_VENUE
80cb44aa-60a5-4231-94b9-03cb3a8e4f9e, Lecture Notes in Computer Science,ARTICLE_VENUE
