id:ID(AUTHOR_ID),:LABEL
Dominik Kern,AUTHOR
Loïc Martínez,AUTHOR
Bernd Gloss,AUTHOR
T. Ravichandran,AUTHOR
Erik Maehle,AUTHOR
Daniel S. Yeung,AUTHOR
Thorsten M. Buzug,AUTHOR
Peter Y. Wu,AUTHOR
Martin Vetterli,AUTHOR
Roberto Konow,AUTHOR
Michelangelo Ceci,AUTHOR
Antony Antony,AUTHOR
Lucas Steinhauser,AUTHOR
Mihaly Petreczky,AUTHOR
Stefan Trueck,AUTHOR
Joseph C. Price,AUTHOR
Cao Trong Hieu,AUTHOR
Julio Rubio,AUTHOR
Paolo Bucci,AUTHOR
Andrea Marin,AUTHOR
Pihui Wei,AUTHOR
Sundararajan Sowrirajan,AUTHOR
Noraziah Ahmad,AUTHOR
Randall B. Smith,AUTHOR
Shing Chi Cheung,AUTHOR
Seral Sahan,AUTHOR
Driss Boutat,AUTHOR
Michael Siemers,AUTHOR
Zhaoyan Fan,AUTHOR
Hee Yong Youn,AUTHOR
D. Mac Randal,AUTHOR
Homero Chaib Filho,AUTHOR
Pawel Nowak,AUTHOR
Abdurrahman Hacioglu,AUTHOR
Lina Zhou,AUTHOR
Sabine Boufenara,AUTHOR
Guocai Zhu,AUTHOR
Tuomas Ihme,AUTHOR
Minoru Abe,AUTHOR
Goran Andersson,AUTHOR
Edwin El Mahassni,AUTHOR
G. Sreenu,AUTHOR
E. L. Lohse,AUTHOR
Rogier M. van Eijk,AUTHOR
Simon Clippingdale,AUTHOR
José Santamaría,AUTHOR
Karl J. Lieberherr,AUTHOR
Mátyás Martinecz,AUTHOR
Peter Warren,AUTHOR
Anis Jedidi,AUTHOR
Luís Paulo Santos,AUTHOR
Marco Masseroli,AUTHOR
Sang Ho Lee,AUTHOR
Nancy A. Lynch,AUTHOR
Ingrid U. Scott,AUTHOR
Christian von der Weth,AUTHOR
Glenn Mansfield,AUTHOR
Sven van der Meer,AUTHOR
Liam P. Maguire,AUTHOR
Mark Daley,AUTHOR
B. Chandrasekaran,AUTHOR
Zhan Cui,AUTHOR
Klaus Robert Müller,AUTHOR
Michael Liveright,AUTHOR
Adam Mrózek,AUTHOR
Mari Sako,AUTHOR
Rudi Studer,AUTHOR
Jostein Jensen,AUTHOR
Korin Richmond,AUTHOR
David Bell,AUTHOR
Jongmoon Baik,AUTHOR
Gregory M. P. O’Hare,AUTHOR
António Nogueira,AUTHOR
Kaushai Dalal,AUTHOR
Matthew C. Turner,AUTHOR
John Reynders,AUTHOR
Jingyan Song,AUTHOR
Kazuyuki Kanda,AUTHOR
Uri Yechiali,AUTHOR
H. Meena Sharma,AUTHOR
Joni da Silva Fraga,AUTHOR
Chengzhi Zhu,AUTHOR
Andreas Bachert,AUTHOR
Olivier Caron,AUTHOR
Stuart Kent,AUTHOR
